residual,index
-0.7658120968927107,0
0.5137783091451461,1
0.0035488591509940607,2
0.5783556955988266,3
-1.4603590417473937,4
-0.49356691020275645,5
-0.15937618742895657,6
0.14098650395958554,7
-0.1000727862834034,8
0.985340052967665,9
-0.04564118009196798,10
1.2824412138822563,11
1.0708171439038836,12
0.2004261519722765,13
1.8187501443430891,14
-0.17240042875548375,15
-1.6479051152034592,16
-0.5532374326066901,17
-2.162584029619556,18
0.22198195356570247,19
0.7065362365386173,20
-0.3473560016968257,21
0.3942093547564548,22
1.691031738165105,23
-0.46079407072048556,24
0.6227912104773451,25
-0.42013348389850447,26
0.8851954565306329,27
-0.0607144000412168,28
0.7609348380322548,29
0.44880831080664746,30
-1.3263165063737057,31
-0.4272862241013541,32
0.45348927878812595,33
0.2524539949561506,34
0.12220545401350626,35
0.5257048654000557,36
2.518270634731412,37
1.5280368708734862,38
-0.09072477141225511,39
0.6238747503592329,40
-1.0702246541070588,41
-1.3244458803408619,42
0.6711971372255409,43
-0.02586305871168116,44
-1.084428461634099,45
0.23424961370724157,46
0.9944278726272113,47
0.1307527888533712,48
-0.035220250148201876,49
-0.7233863357882302,50
-0.682818035022938,51
0.7983460186029215,52
1.4246219029020784,53
0.584377849855093,54
0.5297031996772911,55
2.056899936761864,56
0.03318037971847785,57
0.7271813201853485,58
0.8122892616553935,59
-0.8005434506627583,60
-0.21726774383455,61
-0.019175745883798286,62
-0.8331934251972646,63
-0.03780284617932781,64
1.0532153411334,65
0.47581092219293303,66
0.35968692577152706,67
1.2460784038166637,68
-0.4112868187360912,69
-0.43411485871314154,70
-0.20189565391427025,71
0.10297080978128656,72
0.019836606678510303,73
-0.17578315019630925,74
-1.0658454492546852,75
2.958072368575733,76
0.5084576941363843,77
-0.7864316949414222,78
-0.5248346070798996,79
-1.122437184804805,80
-1.0445176609262388,81
-0.3663917509457889,82
0.08174610444183765,83
0.904296702989972,84
0.45286330762742555,85
0.9485254358277502,86
0.6686037492990565,87
0.3426954531449582,88
-0.5613011689780314,89
0.23998262341955118,90
0.6314924389700771,91
0.37878863483963665,92
-0.4101846850836786,93
-0.31684227136103604,94
0.16533125041933874,95
0.3899123227367943,96
-0.19300942149753647,97
0.2906671221187864,98
0.0807457225189201,99
0.007291872041020342,100
0.15628339382625564,101
0.3818736910339908,102
0.40363139373135204,103
-1.3223298057148185,104
1.5206108154908162,105
-0.839830934443713,106
0.0827908996212769,107
0.14390394711242996,108
0.13745667154882485,109
0.11832112682746238,110
-0.3222684295415697,111
0.7704075687508282,112
1.006708253143847,113
1.134556728410214,114
1.2480350109719422,115
-0.42710096162271527,116
1.8094233872754555,117
0.4010933119073787,118
-0.6130903613275943,119
-1.1988256397786823,120
0.4455438206122427,121
0.4264348829388616,122
-0.03295681953327397,123
-1.1513279702093584,124
-0.3724636014596281,125
0.10156332203809973,126
-0.1574477018248203,127
1.4262203947479386,128
-0.981961724511258,129
1.0332117271998578,130
0.5167133540533049,131
0.11840085747309129,132
0.970817397262886,133
0.15708560710884803,134
-0.0342299388461054,135
0.5487341074839797,136
-0.8214063775069318,137
0.1603825814995338,138
0.09419456813987191,139
-1.6275912474045386,140
-1.2943902442106232,141
-0.9001276211258309,142
0.6975770868978696,143
-0.7504039367344227,144
0.27833915974423723,145
-1.0838533483666561,146
0.5082922138304872,147
-0.6700715172162189,148
-0.5865435662000038,149
-1.1712998709169369,150
-0.5716798790374309,151
-0.18459438961309743,152
-1.594662077529887,153
-3.7828210273022953,154
1.123363513808639,155
1.2956638915920045,156
1.6467920255641344,157
-0.28070254934610006,158
0.28464532503411377,159
0.9852299063764346,160
1.8848784051594878,161
0.6277509686590106,162
-0.7036890610636696,163
-1.1319582488882802,164
-0.28295833165687423,165
0.03250618120588745,166
2.821702999068076,167
0.44668349587791284,168
0.33212966187997994,169
0.46062177025489504,170
0.44972402673767425,171
1.9250020263886927,172
-1.2674562434045558,173
-0.007377120625656434,174
1.205016990335943,175
0.6942789203226423,176
-0.044310216827330766,177
0.92153582657487,178
0.03039567416840779,179
